district,Accepted Date,Successfully Completed Date,Diversion Case Type
05,2020-09-10,2021-02-18,Juvenile
05,2020-09-10,2021-02-18,Juvenile
05,2020-09-10,2021-02-18,Juvenile
05,2020-09-10,2021-02-18,Juvenile
05,2020-09-10,2021-02-18,Juvenile
05,2020-09-10,2021-02-25,Juvenile
05,2020-09-10,2021-02-25,Juvenile
05,2020-09-10,2021-03-23,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-11-02,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-10-27,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-10-27,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-10,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-10-27,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-09-11,2021-03-31,Juvenile
05,2020-12-28,2021-04-07,Juvenile
05,2020-09-11,2021-04-07,Juvenile
05,2020-09-10,2021-04-20,Juvenile
05,2020-11-17,2021-05-25,Juvenile
05,2020-10-27,2021-05-25,Juvenile
05,2021-01-13,2021-05-25,Juvenile
05,2021-01-13,2021-05-25,Juvenile
05,2020-11-17,2021-05-25,Juvenile
05,2021-02-18,2021-06-24,Juvenile
05,2020-09-10,2021-06-24,Juvenile
05,2020-09-21,2021-06-30,Juvenile
05,2021-03-31,2021-06-30,Juvenile
05,2020-12-28,2021-07-01,Juvenile
05,2021-01-20,2021-07-19,Juvenile
05,2021-06-24,2021-07-26,Juvenile
05,2020-12-28,2021-08-10,Juvenile
05,2021-06-10,2021-08-10,Juvenile
05,2021-04-20,2021-08-12,Juvenile
05,2020-10-29,2021-08-13,Juvenile
05,2021-01-12,2021-08-13,Juvenile
05,2020-11-17,2021-09-27,Juvenile
05,2021-02-17,2021-09-27,Juvenile
05,2021-02-17,2021-10-14,Juvenile
05,2020-11-17,2021-10-18,Juvenile
05,2020-12-28,2021-11-19,Juvenile
05,2021-07-22,2021-11-19,Juvenile
05,2021-12-15,2021-12-28,Juvenile
05,2021-11-15,2021-12-28,Juvenile
